#Image,Rotation,HorizontalFlip
/data/Experiment/2017-05-03/Corrected/EGFP/s21/EGFP-s21t005.tif,1,0
/data/Experiment/2017-05-03/Corrected/EGFP/s19/EGFP-s19t004.tif,2,0
/data/Experiment/2017-05-03/Corrected/EGFP/s19/EGFP-s19t004.tif,1,1
/data/Experiment/2017-03-03/Corrected/EGFP/s09/EGFP-s09t003.tif,1,1
/data/Experiment/2017-01-30/Corrected/EGFP/s09/EGFP-s09t011.tif,0,1
/data/Experiment/2017-03-03/Corrected/EGFP/s08/EGFP-s08t006.tif,2,1
/data/Experiment/2017-03-03/Corrected/EGFP/s13/EGFP-s13t003.tif,0,1
/data/Experiment/2017-05-03/Corrected/EGFP/s21/EGFP-s21t004.tif,3,0
/data/Experiment/2017-01-30/Corrected/EGFP/s09/EGFP-s09t005.tif,2,0
/data/Experiment/2017-05-03/Corrected/EGFP/s27/EGFP-s27t002.tif,2,1
/data/Experiment/2017-05-03/Corrected/EGFP/s19/EGFP-s19t003.tif,1,1
/data/Experiment/2017-01-30/Corrected/EGFP/s10/EGFP-s10t004.tif,2,1
/data/Experiment/2017-05-03/Corrected/EGFP/s27/EGFP-s27t001.tif,1,0
/data/Experiment/2017-03-03/Corrected/EGFP/s13/EGFP-s13t004.tif,0,0
/data/Experiment/2017-03-03/Corrected/EGFP/s02/EGFP-s02t008.tif,2,1
/data/Experiment/2017-03-03/Corrected/EGFP/s08/EGFP-s08t001.tif,2,0
/data/Experiment/2017-01-30/Corrected/EGFP/s09/EGFP-s09t004.tif,3,1
/data/Experiment/2017-01-30/Corrected/EGFP/s10/EGFP-s10t003.tif,3,0
/data/Experiment/2017-03-03/Corrected/EGFP/s08/EGFP-s08t007.tif,0,0
/data/Experiment/2017-03-03/Corrected/EGFP/s02/EGFP-s02t009.tif,0,1
/data/Experiment/2017-03-03/Corrected/EGFP/s09/EGFP-s09t004.tif,2,1
/data/Experiment/2017-03-03/Corrected/EGFP/s08/EGFP-s08t002.tif,2,0
/data/Experiment/2017-05-03/Corrected/EGFP/s19/EGFP-s19t005.tif,0,1
/data/Experiment/2017-01-30/Corrected/EGFP/s09/EGFP-s09t012.tif,1,0
